model,layer,train_language,test_language,classifier,uar,accuracy,sensitivity,specificity,auc,n_train,n_test
xlsr,0,Spanish,Spanish,linear_svm,0.78,0.78,0.8,0.76,0.8348000000000001,100,100
xlsr,0,Spanish,Spanish,logistic_regression,0.78,0.78,0.78,0.78,0.8296,100,100
xlsr,0,Spanish,German,linear_svm,0.5568181818181819,0.5568181818181818,0.23863636363636365,0.875,0.6455320247933884,100,176
xlsr,0,Spanish,German,logistic_regression,0.5852272727272727,0.5852272727272727,0.29545454545454547,0.875,0.671875,100,176
xlsr,0,German,German,linear_svm,0.7443181818181819,0.7443181818181818,0.75,0.7386363636363636,0.7722107438016529,176,176
xlsr,0,German,German,logistic_regression,0.75,0.75,0.7613636363636364,0.7386363636363636,0.790547520661157,176,176
xlsr,0,German,Spanish,linear_svm,0.6,0.6,0.72,0.48,0.6954,176,100
xlsr,0,German,Spanish,logistic_regression,0.6000000000000001,0.6,0.68,0.52,0.6668000000000001,176,100
xlsr,0,Spanish+German,Spanish+German,linear_svm,0.75,0.75,0.7536231884057971,0.7463768115942029,0.8083385843310229,276,276
xlsr,0,Spanish+German,Spanish+German,logistic_regression,0.7572463768115942,0.7572463768115942,0.7463768115942029,0.7681159420289855,0.817895400126024,276,276
