model,layer,train_language,test_language,classifier,uar,accuracy,sensitivity,specificity,auc,n_train,n_test
wav2vec2,0,Spanish,Spanish,linear_svm,0.76,0.76,0.74,0.78,0.8185999999999999,100,100
wav2vec2,0,Spanish,Spanish,logistic_regression,0.75,0.75,0.74,0.76,0.7744,100,100
wav2vec2,0,Spanish,German,linear_svm,0.6477272727272727,0.6477272727272727,0.5340909090909091,0.7613636363636364,0.7072572314049587,100,176
wav2vec2,0,Spanish,German,logistic_regression,0.6022727272727273,0.6022727272727273,0.45454545454545453,0.75,0.690470041322314,100,176
wav2vec2,0,German,German,linear_svm,0.7329545454545454,0.7329545454545454,0.75,0.7159090909090909,0.7749225206611571,176,176
wav2vec2,0,German,German,logistic_regression,0.7215909090909092,0.7215909090909091,0.7386363636363636,0.7045454545454546,0.7868026859504131,176,176
wav2vec2,0,German,Spanish,linear_svm,0.56,0.56,0.68,0.44,0.616,176,100
wav2vec2,0,German,Spanish,logistic_regression,0.56,0.56,0.46,0.66,0.6568,176,100
wav2vec2,0,Spanish+German,Spanish+German,linear_svm,0.7644927536231885,0.7644927536231884,0.782608695652174,0.7463768115942029,0.8101764335223692,276,276
wav2vec2,0,Spanish+German,Spanish+German,logistic_regression,0.7427536231884058,0.7427536231884058,0.7536231884057971,0.7318840579710145,0.8003570678428902,276,276
