model,layer,train_language,test_language,classifier,uar,accuracy,sensitivity,specificity,auc,n_train,n_test
wavlm,4,Spanish,Spanish,linear_svm,0.78,0.78,0.72,0.84,0.8296,100,100
wavlm,4,Spanish,Spanish,logistic_regression,0.8,0.8,0.68,0.92,0.8331999999999999,100,100
wavlm,4,Spanish,German,linear_svm,0.5170454545454546,0.5170454545454546,0.9772727272727273,0.056818181818181816,0.6574121900826446,100,176
wavlm,4,Spanish,German,logistic_regression,0.5625,0.5625,0.9886363636363636,0.13636363636363635,0.6568956611570247,100,176
wavlm,4,German,German,linear_svm,0.7556818181818181,0.7556818181818182,0.75,0.7613636363636364,0.7944214876033058,176,176
wavlm,4,German,German,logistic_regression,0.75,0.75,0.75,0.75,0.8020402892561984,176,176
wavlm,4,German,Spanish,linear_svm,0.6799999999999999,0.68,0.66,0.7,0.674,176,100
wavlm,4,German,Spanish,logistic_regression,0.66,0.66,0.8,0.52,0.7040000000000001,176,100
wavlm,4,Spanish+German,Spanish+German,linear_svm,0.7826086956521738,0.782608695652174,0.7753623188405797,0.7898550724637681,0.828134845620668,276,276
wavlm,4,Spanish+German,Spanish+German,logistic_regression,0.786231884057971,0.7862318840579711,0.7753623188405797,0.7971014492753623,0.8364314219701744,276,276
