model,layer,train_language,test_language,classifier,uar,accuracy,sensitivity,specificity,auc,n_train,n_test
wav2vec2,11,Spanish,Spanish,linear_svm,0.73,0.73,0.68,0.78,0.7719999999999999,100,100
wav2vec2,11,Spanish,Spanish,logistic_regression,0.75,0.75,0.7,0.8,0.7788,100,100
wav2vec2,11,Spanish,German,linear_svm,0.6022727272727273,0.6022727272727273,0.7840909090909091,0.42045454545454547,0.6266787190082644,100,176
wav2vec2,11,Spanish,German,logistic_regression,0.5625,0.5625,0.9545454545454546,0.17045454545454544,0.659220041322314,100,176
wav2vec2,11,German,German,linear_svm,0.75,0.75,0.7727272727272727,0.7272727272727273,0.8166967975206612,176,176
wav2vec2,11,German,German,logistic_regression,0.75,0.75,0.75,0.75,0.8096590909090909,176,176
wav2vec2,11,German,Spanish,linear_svm,0.51,0.51,0.86,0.16,0.6656,176,100
wav2vec2,11,German,Spanish,logistic_regression,0.62,0.62,0.84,0.4,0.7356,176,100
wav2vec2,11,Spanish+German,Spanish+German,linear_svm,0.7572463768115942,0.7572463768115942,0.717391304347826,0.7971014492753623,0.842680109220752,276,276
wav2vec2,11,Spanish+German,Spanish+German,logistic_regression,0.75,0.75,0.7318840579710145,0.7681159420289855,0.8423650493593783,276,276
