model,layer,train_language,test_language,classifier,uar,accuracy,sensitivity,specificity,auc,n_train,n_test
wavlm,8,Spanish,Spanish,linear_svm,0.75,0.75,0.7,0.8,0.8175999999999999,100,100
wavlm,8,Spanish,Spanish,logistic_regression,0.78,0.78,0.7,0.86,0.8468000000000001,100,100
wavlm,8,Spanish,German,linear_svm,0.625,0.625,0.9090909090909091,0.3409090909090909,0.6829803719008264,100,176
wavlm,8,Spanish,German,logistic_regression,0.6534090909090908,0.6534090909090909,0.7840909090909091,0.5227272727272727,0.6896952479338843,100,176
wavlm,8,German,German,linear_svm,0.7386363636363636,0.7386363636363636,0.75,0.7272727272727273,0.8134039256198348,176,176
wavlm,8,German,German,logistic_regression,0.8181818181818181,0.8181818181818182,0.8068181818181818,0.8295454545454546,0.8680268595041322,176,176
wavlm,8,German,Spanish,linear_svm,0.55,0.55,0.72,0.38,0.582,176,100
wavlm,8,German,Spanish,logistic_regression,0.63,0.63,0.8,0.46,0.7123999999999999,176,100
wavlm,8,Spanish+German,Spanish+German,linear_svm,0.7753623188405797,0.7753623188405797,0.7681159420289855,0.782608695652174,0.8479836168872087,276,276
wavlm,8,Spanish+German,Spanish+German,logistic_regression,0.7971014492753623,0.7971014492753623,0.7898550724637681,0.8043478260869565,0.8414198697752573,276,276
