model,layer,train_language,test_language,classifier,uar,accuracy,sensitivity,specificity,auc,n_train,n_test
xlsr,4,Spanish,Spanish,linear_svm,0.84,0.84,0.84,0.84,0.8635999999999999,100,100
xlsr,4,Spanish,Spanish,logistic_regression,0.8200000000000001,0.82,0.78,0.86,0.8807999999999999,100,100
xlsr,4,Spanish,German,linear_svm,0.5511363636363636,0.5511363636363636,0.8636363636363636,0.23863636363636365,0.6109245867768596,100,176
xlsr,4,Spanish,German,logistic_regression,0.5340909090909091,0.5340909090909091,0.8522727272727273,0.2159090909090909,0.6372675619834711,100,176
xlsr,4,German,German,linear_svm,0.7159090909090909,0.7159090909090909,0.7386363636363636,0.6931818181818182,0.7979080578512396,176,176
xlsr,4,German,German,logistic_regression,0.7613636363636364,0.7613636363636364,0.7954545454545454,0.7272727272727273,0.828254132231405,176,176
xlsr,4,German,Spanish,linear_svm,0.62,0.62,0.24,1.0,0.7276,176,100
xlsr,4,German,Spanish,logistic_regression,0.61,0.61,0.22,1.0,0.7604,176,100
xlsr,4,Spanish+German,Spanish+German,linear_svm,0.7608695652173914,0.7608695652173914,0.7608695652173914,0.7608695652173914,0.8401071203528669,276,276
xlsr,4,Spanish+German,Spanish+German,logistic_regression,0.7789855072463768,0.7789855072463768,0.782608695652174,0.7753623188405797,0.8264545263600085,276,276
