model,layer,train_language,test_language,classifier,uar,accuracy,sensitivity,specificity,auc,n_train,n_test
wav2vec2,0,Spanish,Spanish,linear_svm,0.76,0.76,0.74,0.78,0.8185999999999999,100,100
wav2vec2,0,Spanish,Spanish,logistic_regression,0.75,0.75,0.74,0.76,0.7744,100,100
wav2vec2,0,Spanish,German,linear_svm,0.6477272727272727,0.6477272727272727,0.5340909090909091,0.7613636363636364,0.7072572314049587,100,176
wav2vec2,0,Spanish,German,logistic_regression,0.6022727272727273,0.6022727272727273,0.45454545454545453,0.75,0.690470041322314,100,176
wav2vec2,0,German,German,linear_svm,0.7329545454545454,0.7329545454545454,0.75,0.7159090909090909,0.7749225206611571,176,176
wav2vec2,0,German,German,logistic_regression,0.7215909090909092,0.7215909090909091,0.7386363636363636,0.7045454545454546,0.7868026859504131,176,176
wav2vec2,0,German,Spanish,linear_svm,0.56,0.56,0.68,0.44,0.616,176,100
wav2vec2,0,German,Spanish,logistic_regression,0.56,0.56,0.46,0.66,0.6568,176,100
wav2vec2,0,Spanish+German,Spanish+German,linear_svm,0.7644927536231885,0.7644927536231884,0.782608695652174,0.7463768115942029,0.8101764335223692,276,276
wav2vec2,0,Spanish+German,Spanish+German,logistic_regression,0.7427536231884058,0.7427536231884058,0.7536231884057971,0.7318840579710145,0.8003570678428902,276,276
wav2vec2,11,Spanish,Spanish,linear_svm,0.73,0.73,0.68,0.78,0.7719999999999999,100,100
wav2vec2,11,Spanish,Spanish,logistic_regression,0.75,0.75,0.7,0.8,0.7788,100,100
wav2vec2,11,Spanish,German,linear_svm,0.6022727272727273,0.6022727272727273,0.7840909090909091,0.42045454545454547,0.6266787190082644,100,176
wav2vec2,11,Spanish,German,logistic_regression,0.5625,0.5625,0.9545454545454546,0.17045454545454544,0.659220041322314,100,176
wav2vec2,11,German,German,linear_svm,0.75,0.75,0.7727272727272727,0.7272727272727273,0.8166967975206612,176,176
wav2vec2,11,German,German,logistic_regression,0.75,0.75,0.75,0.75,0.8096590909090909,176,176
wav2vec2,11,German,Spanish,linear_svm,0.51,0.51,0.86,0.16,0.6656,176,100
wav2vec2,11,German,Spanish,logistic_regression,0.62,0.62,0.84,0.4,0.7356,176,100
wav2vec2,11,Spanish+German,Spanish+German,linear_svm,0.7572463768115942,0.7572463768115942,0.717391304347826,0.7971014492753623,0.842680109220752,276,276
wav2vec2,11,Spanish+German,Spanish+German,logistic_regression,0.75,0.75,0.7318840579710145,0.7681159420289855,0.8423650493593783,276,276
wav2vec2,4,Spanish,Spanish,linear_svm,0.81,0.81,0.78,0.84,0.836,100,100
wav2vec2,4,Spanish,Spanish,logistic_regression,0.79,0.79,0.74,0.84,0.8256,100,100
wav2vec2,4,Spanish,German,linear_svm,0.5909090909090909,0.5909090909090909,0.75,0.4318181818181818,0.6171229338842976,100,176
wav2vec2,4,Spanish,German,logistic_regression,0.6647727272727273,0.6647727272727273,0.8636363636363636,0.4659090909090909,0.6934400826446281,100,176
wav2vec2,4,German,German,linear_svm,0.7159090909090909,0.7159090909090909,0.7045454545454546,0.7272727272727273,0.7994576446280992,176,176
wav2vec2,4,German,German,logistic_regression,0.7784090909090908,0.7784090909090909,0.7727272727272727,0.7840909090909091,0.8438791322314049,176,176
wav2vec2,4,German,Spanish,linear_svm,0.52,0.52,0.08,0.96,0.6524,176,100
wav2vec2,4,German,Spanish,logistic_regression,0.5599999999999999,0.56,0.16,0.96,0.7676000000000001,176,100
wav2vec2,4,Spanish+German,Spanish+German,linear_svm,0.7427536231884058,0.7427536231884058,0.7608695652173914,0.7246376811594203,0.8246691871455576,276,276
wav2vec2,4,Spanish+German,Spanish+German,logistic_regression,0.7753623188405797,0.7753623188405797,0.7681159420289855,0.782608695652174,0.8589582020583911,276,276
wav2vec2,8,Spanish,Spanish,linear_svm,0.76,0.76,0.74,0.78,0.792,100,100
wav2vec2,8,Spanish,Spanish,logistic_regression,0.79,0.79,0.76,0.82,0.8296000000000001,100,100
wav2vec2,8,Spanish,German,linear_svm,0.5568181818181818,0.5568181818181818,0.7954545454545454,0.3181818181818182,0.6009814049586777,100,176
wav2vec2,8,Spanish,German,logistic_regression,0.5738636363636364,0.5738636363636364,0.875,0.2727272727272727,0.6608987603305786,100,176
wav2vec2,8,German,German,linear_svm,0.6931818181818181,0.6931818181818182,0.6590909090909091,0.7272727272727273,0.7554881198347108,176,176
wav2vec2,8,German,German,logistic_regression,0.7613636363636364,0.7613636363636364,0.7613636363636364,0.7613636363636364,0.7957128099173554,176,176
wav2vec2,8,German,Spanish,linear_svm,0.54,0.54,0.1,0.98,0.7316,176,100
wav2vec2,8,German,Spanish,logistic_regression,0.63,0.63,0.42,0.84,0.7807999999999999,176,100
wav2vec2,8,Spanish+German,Spanish+German,linear_svm,0.7536231884057971,0.7536231884057971,0.7463768115942029,0.7608695652173914,0.813694601974375,276,276
wav2vec2,8,Spanish+German,Spanish+German,logistic_regression,0.8079710144927537,0.8079710144927537,0.8115942028985508,0.8043478260869565,0.842680109220752,276,276
