model,layer,train_language,test_language,classifier,uar,accuracy,sensitivity,specificity,auc,n_train,n_test
wavlm,0,Spanish,Spanish,linear_svm,0.77,0.77,0.74,0.8,0.7944,100,100
wavlm,0,Spanish,Spanish,logistic_regression,0.73,0.73,0.68,0.78,0.7972,100,100
wavlm,0,Spanish,German,linear_svm,0.6420454545454546,0.6420454545454546,0.5113636363636364,0.7727272727272727,0.7161027892561983,100,176
wavlm,0,Spanish,German,logistic_regression,0.6477272727272727,0.6477272727272727,0.5454545454545454,0.75,0.7122933884297521,100,176
wavlm,0,German,German,linear_svm,0.7045454545454546,0.7045454545454546,0.7613636363636364,0.6477272727272727,0.7714359504132231,176,176
wavlm,0,German,German,logistic_regression,0.7272727272727273,0.7272727272727273,0.7727272727272727,0.6818181818181818,0.7645919421487603,176,176
wavlm,0,German,Spanish,linear_svm,0.68,0.68,0.56,0.8,0.746,176,100
wavlm,0,German,Spanish,logistic_regression,0.69,0.69,0.62,0.76,0.7487999999999999,176,100
wavlm,0,Spanish+German,Spanish+German,linear_svm,0.75,0.75,0.7681159420289855,0.7318840579710145,0.8003570678428901,276,276
wavlm,0,Spanish+German,Spanish+German,logistic_regression,0.7536231884057971,0.7536231884057971,0.7753623188405797,0.7318840579710145,0.8056080655324511,276,276
wavlm,11,Spanish,Spanish,linear_svm,0.74,0.74,0.7,0.78,0.8016,100,100
wavlm,11,Spanish,Spanish,logistic_regression,0.78,0.78,0.7,0.86,0.8368,100,100
wavlm,11,Spanish,German,linear_svm,0.6590909090909091,0.6590909090909091,0.9204545454545454,0.3977272727272727,0.7243026859504131,100,176
wavlm,11,Spanish,German,logistic_regression,0.7272727272727273,0.7272727272727273,0.875,0.5795454545454546,0.7487086776859504,100,176
wavlm,11,German,German,linear_svm,0.7329545454545454,0.7329545454545454,0.7272727272727273,0.7386363636363636,0.8063016528925621,176,176
wavlm,11,German,German,logistic_regression,0.7954545454545454,0.7954545454545454,0.8522727272727273,0.7386363636363636,0.8322572314049587,176,176
wavlm,11,German,Spanish,linear_svm,0.57,0.57,0.16,0.98,0.6458,176,100
wavlm,11,German,Spanish,logistic_regression,0.67,0.67,0.46,0.88,0.7448,176,100
wavlm,11,Spanish+German,Spanish+German,linear_svm,0.7572463768115942,0.7572463768115942,0.7608695652173914,0.7536231884057971,0.8269796261289645,276,276
wavlm,11,Spanish+German,Spanish+German,logistic_regression,0.7753623188405797,0.7753623188405797,0.7971014492753623,0.7536231884057971,0.8365889519008612,276,276
wavlm,4,Spanish,Spanish,linear_svm,0.78,0.78,0.72,0.84,0.8296,100,100
wavlm,4,Spanish,Spanish,logistic_regression,0.8,0.8,0.68,0.92,0.8331999999999999,100,100
wavlm,4,Spanish,German,linear_svm,0.5170454545454546,0.5170454545454546,0.9772727272727273,0.056818181818181816,0.6574121900826446,100,176
wavlm,4,Spanish,German,logistic_regression,0.5625,0.5625,0.9886363636363636,0.13636363636363635,0.6568956611570247,100,176
wavlm,4,German,German,linear_svm,0.7556818181818181,0.7556818181818182,0.75,0.7613636363636364,0.7944214876033058,176,176
wavlm,4,German,German,logistic_regression,0.75,0.75,0.75,0.75,0.8020402892561984,176,176
wavlm,4,German,Spanish,linear_svm,0.6799999999999999,0.68,0.66,0.7,0.674,176,100
wavlm,4,German,Spanish,logistic_regression,0.66,0.66,0.8,0.52,0.7040000000000001,176,100
wavlm,4,Spanish+German,Spanish+German,linear_svm,0.7826086956521738,0.782608695652174,0.7753623188405797,0.7898550724637681,0.828134845620668,276,276
wavlm,4,Spanish+German,Spanish+German,logistic_regression,0.786231884057971,0.7862318840579711,0.7753623188405797,0.7971014492753623,0.8364314219701744,276,276
wavlm,8,Spanish,Spanish,linear_svm,0.75,0.75,0.7,0.8,0.8175999999999999,100,100
wavlm,8,Spanish,Spanish,logistic_regression,0.78,0.78,0.7,0.86,0.8468000000000001,100,100
wavlm,8,Spanish,German,linear_svm,0.625,0.625,0.9090909090909091,0.3409090909090909,0.6829803719008264,100,176
wavlm,8,Spanish,German,logistic_regression,0.6534090909090908,0.6534090909090909,0.7840909090909091,0.5227272727272727,0.6896952479338843,100,176
wavlm,8,German,German,linear_svm,0.7386363636363636,0.7386363636363636,0.75,0.7272727272727273,0.8134039256198348,176,176
wavlm,8,German,German,logistic_regression,0.8181818181818181,0.8181818181818182,0.8068181818181818,0.8295454545454546,0.8680268595041322,176,176
wavlm,8,German,Spanish,linear_svm,0.55,0.55,0.72,0.38,0.582,176,100
wavlm,8,German,Spanish,logistic_regression,0.63,0.63,0.8,0.46,0.7123999999999999,176,100
wavlm,8,Spanish+German,Spanish+German,linear_svm,0.7753623188405797,0.7753623188405797,0.7681159420289855,0.782608695652174,0.8479836168872087,276,276
wavlm,8,Spanish+German,Spanish+German,logistic_regression,0.7971014492753623,0.7971014492753623,0.7898550724637681,0.8043478260869565,0.8414198697752573,276,276
