serial,extension,count
1,.py,29261
2,.pyc,29217
3,.h,18797
4,.wav,12388
5,[no extension],3155
6,.f0,1770
7,.frm,1770
8,.pyi,938
9,.csv,664
10,.npy,612
11,.pyd,598
12,.txt,339
13,.lib,297
14,.png,236
15,.a,224
16,.mat,220
17,.pk,213
18,.gz,206
19,.hpp,158
20,.pyx,128
21,.f90,121
22,.afm,120
23,.typed,120
24,.cuh,118
25,.c,99
26,.sav,94
27,.cpp,88
28,.pxd,88
29,.exe,84
30,.md,79
31,.ttf,76
32,.nbc,72
33,.mplstyle,58
34,.cmake,56
35,.dat,56
36,.build,52
37,.npz,50
38,.f,48
39,.tp,48
40,.dll,43
41,.svg,38
42,.jinja,36
43,.rst,33
44,.al,32
45,.arff,32
46,.sample,28
47,.pdf,26
48,.pkl,22
49,.bz2,20
50,.json,20
51,.nbi,20
52,.css,17
53,.js,16
54,.html,15
55,.tpl,15
56,.cu,14
57,.pyf,14
58,.yaml,13
59,.zip,13
60,.tab,12
61,.xz,12
62,.gzip,10
63,.lzma,10
64,.cfg,8
65,.ini,8
66,.xlsx,7
67,.1,6
68,.apache,6
69,.bsd,6
70,.jpg,6
71,.nc,6
72,.xsl,6
73,.z,6
74,.pem,5
75,.a99,4
76,.b99,4
77,.bat,4
78,.g4,4
79,.lark,4
80,.mjs,4
81,.pxi,4
82,.tmpl,4
83,.whl,3
84,.zi,3
85,.ani,2
86,.bazel,2
87,.bzl,2
88,.egg,2
89,.external,2
90,.f95,2
91,.fits,2
92,.gdb,2
93,.in,2
94,.inc,2
95,.ld,2
96,.lgpl,2
97,.lua,2
98,.m,2
99,.markdown-it,2
100,.msgpack,2
101,.pc,2
102,.ps1,2
103,.pth,2
104,.ptx,2
105,.sh,2
106,.template,2
107,.third-party,2
108,.thirdparty,2
109,.thrift,2
110,.toml,2
111,.xml,2
112,.xrc,2
113,.cc,1
114,.cmd,1
115,.doc,1
116,.ds_store,1
117,.idx,1
118,.pack,1
119,.python,1
120,.rev,1
