Scenario,Model,Original UAR,Reconstructed UAR,Layer,Classifier,Difference,Absolute difference
Spanish → Spanish,XLSR,0.78,0.79,0,linear_svm,0.01,0.01
Spanish → Spanish,XLSR,0.78,0.78,0,logistic_regression,0.0,0.0
Spanish → German,XLSR,0.5511363636363636,0.5681818181818182,0,linear_svm,0.0170454545454545,0.0170454545454545
Spanish → German,XLSR,0.5965909090909091,0.5909090909090908,0,logistic_regression,-0.0056818181818182,0.0056818181818182
German → German,XLSR,0.7102272727272727,0.7215909090909092,0,linear_svm,0.0113636363636364,0.0113636363636364
German → German,XLSR,0.7386363636363636,0.7556818181818181,0,logistic_regression,0.0170454545454544,0.0170454545454544
German → Spanish,XLSR,0.61,0.6,0,linear_svm,-0.01,0.01
German → Spanish,XLSR,0.6100000000000001,0.65,0,logistic_regression,0.0399999999999999,0.0399999999999999
German → Spanish,XLSR,0.7681159420289855,0.7717391304347826,0,linear_svm,0.0036231884057971,0.0036231884057971
German → Spanish,XLSR,0.7644927536231884,0.7862318840579711,0,logistic_regression,0.0217391304347827,0.0217391304347827
Spanish → Spanish,XLSR,0.8,0.78,11,linear_svm,-0.02,0.02
Spanish → Spanish,XLSR,0.8,0.8200000000000001,11,logistic_regression,0.02,0.02
Spanish → German,XLSR,0.5909090909090909,0.5397727272727273,11,linear_svm,-0.0511363636363636,0.0511363636363636
Spanish → German,XLSR,0.6420454545454546,0.6590909090909091,11,logistic_regression,0.0170454545454544,0.0170454545454544
German → German,XLSR,0.7045454545454546,0.7556818181818181,11,linear_svm,0.0511363636363635,0.0511363636363635
German → German,XLSR,0.7556818181818181,0.7670454545454546,11,logistic_regression,0.0113636363636364,0.0113636363636364
German → Spanish,XLSR,0.6100000000000001,0.57,11,linear_svm,-0.0400000000000001,0.0400000000000001
German → Spanish,XLSR,0.66,0.55,11,logistic_regression,-0.1099999999999999,0.1099999999999999
German → Spanish,XLSR,0.8007246376811594,0.7717391304347826,11,linear_svm,-0.0289855072463768,0.0289855072463768
German → Spanish,XLSR,0.7826086956521738,0.8007246376811594,11,logistic_regression,0.0181159420289855,0.0181159420289855
Spanish → Spanish,XLSR,0.84,0.8200000000000001,4,linear_svm,-0.0199999999999999,0.0199999999999999
Spanish → Spanish,XLSR,0.8200000000000001,0.81,4,logistic_regression,-0.01,0.01
Spanish → German,XLSR,0.5284090909090909,0.5227272727272727,4,linear_svm,-0.0056818181818182,0.0056818181818182
Spanish → German,XLSR,0.5454545454545454,0.5340909090909091,4,logistic_regression,-0.0113636363636363,0.0113636363636363
German → German,XLSR,0.7670454545454546,0.7159090909090909,4,linear_svm,-0.0511363636363636,0.0511363636363636
German → German,XLSR,0.7727272727272727,0.7840909090909092,4,logistic_regression,0.0113636363636364,0.0113636363636364
German → Spanish,XLSR,0.62,0.66,4,linear_svm,0.04,0.04
German → Spanish,XLSR,0.62,0.73,4,logistic_regression,0.1099999999999999,0.1099999999999999
German → Spanish,XLSR,0.7753623188405797,0.782608695652174,4,linear_svm,0.0072463768115942,0.0072463768115942
German → Spanish,XLSR,0.786231884057971,0.7934782608695652,4,logistic_regression,0.0072463768115942,0.0072463768115942
Spanish → Spanish,XLSR,0.79,0.8200000000000001,8,linear_svm,0.03,0.03
Spanish → Spanish,XLSR,0.8400000000000001,0.8600000000000001,8,logistic_regression,0.02,0.02
Spanish → German,XLSR,0.5965909090909091,0.6818181818181819,8,linear_svm,0.0852272727272728,0.0852272727272728
Spanish → German,XLSR,0.6477272727272727,0.6590909090909092,8,logistic_regression,0.0113636363636364,0.0113636363636364
German → German,XLSR,0.7102272727272727,0.7386363636363636,8,linear_svm,0.0284090909090909,0.0284090909090909
German → German,XLSR,0.75,0.7670454545454546,8,logistic_regression,0.0170454545454545,0.0170454545454545
German → Spanish,XLSR,0.55,0.6799999999999999,8,linear_svm,0.1299999999999999,0.1299999999999999
German → Spanish,XLSR,0.6599999999999999,0.6599999999999999,8,logistic_regression,0.0,0.0
German → Spanish,XLSR,0.7536231884057971,0.7934782608695652,8,linear_svm,0.039855072463768,0.039855072463768
German → Spanish,XLSR,0.7934782608695652,0.8043478260869565,8,logistic_regression,0.0108695652173913,0.0108695652173913
Spanish → Spanish,Wav2Vec2,0.78,0.72,0,linear_svm,-0.06,0.06
Spanish → Spanish,Wav2Vec2,0.75,0.74,0,logistic_regression,-0.01,0.01
Spanish → German,Wav2Vec2,0.6420454545454546,0.5909090909090909,0,linear_svm,-0.0511363636363636,0.0511363636363636
Spanish → German,Wav2Vec2,0.6136363636363636,0.6136363636363636,0,logistic_regression,0.0,0.0
German → German,Wav2Vec2,0.7159090909090909,0.7159090909090908,0,linear_svm,-1.1102230246251563e-16,1.1102230246251563e-16
German → German,Wav2Vec2,0.7386363636363636,0.7045454545454546,0,logistic_regression,-0.034090909090909,0.034090909090909
German → Spanish,Wav2Vec2,0.62,0.63,0,linear_svm,0.01,0.01
German → Spanish,Wav2Vec2,0.55,0.63,0,logistic_regression,0.0799999999999999,0.0799999999999999
German → Spanish,Wav2Vec2,0.7717391304347827,0.7282608695652174,0,linear_svm,-0.0434782608695653,0.0434782608695653
German → Spanish,Wav2Vec2,0.7608695652173914,0.7210144927536232,0,logistic_regression,-0.0398550724637681,0.0398550724637681
Spanish → Spanish,Wav2Vec2,0.72,0.73,11,linear_svm,0.01,0.01
Spanish → Spanish,Wav2Vec2,0.74,0.73,11,logistic_regression,-0.01,0.01
Spanish → German,Wav2Vec2,0.6136363636363636,0.5227272727272727,11,linear_svm,-0.0909090909090909,0.0909090909090909
Spanish → German,Wav2Vec2,0.5681818181818182,0.5625,11,logistic_regression,-0.0056818181818182,0.0056818181818182
German → German,Wav2Vec2,0.75,0.7556818181818181,11,linear_svm,0.0056818181818181,0.0056818181818181
German → German,Wav2Vec2,0.7443181818181819,0.7784090909090908,11,logistic_regression,0.0340909090909089,0.0340909090909089
German → Spanish,Wav2Vec2,0.52,0.65,11,linear_svm,0.13,0.13
German → Spanish,Wav2Vec2,0.62,0.71,11,logistic_regression,0.0899999999999999,0.0899999999999999
German → Spanish,Wav2Vec2,0.7355072463768115,0.7282608695652174,11,linear_svm,-0.0072463768115941,0.0072463768115941
German → Spanish,Wav2Vec2,0.7644927536231885,0.7536231884057971,11,logistic_regression,-0.0108695652173913,0.0108695652173913
Spanish → Spanish,Wav2Vec2,0.81,0.8300000000000001,4,linear_svm,0.02,0.02
Spanish → Spanish,Wav2Vec2,0.8,0.77,4,logistic_regression,-0.03,0.03
Spanish → German,Wav2Vec2,0.5852272727272727,0.6363636363636364,4,linear_svm,0.0511363636363636,0.0511363636363636
Spanish → German,Wav2Vec2,0.6590909090909091,0.6647727272727273,4,logistic_regression,0.0056818181818182,0.0056818181818182
German → German,Wav2Vec2,0.7613636363636364,0.75,4,linear_svm,-0.0113636363636363,0.0113636363636363
German → German,Wav2Vec2,0.7784090909090908,0.7613636363636364,4,logistic_regression,-0.0170454545454544,0.0170454545454544
German → Spanish,Wav2Vec2,0.53,0.6,4,linear_svm,0.0699999999999999,0.0699999999999999
German → Spanish,Wav2Vec2,0.5599999999999999,0.64,4,logistic_regression,0.08,0.08
German → Spanish,Wav2Vec2,0.7681159420289855,0.7753623188405797,4,linear_svm,0.0072463768115942,0.0072463768115942
German → Spanish,Wav2Vec2,0.7862318840579711,0.786231884057971,4,logistic_regression,-1.1102230246251563e-16,1.1102230246251563e-16
Spanish → Spanish,Wav2Vec2,0.75,0.78,8,linear_svm,0.03,0.03
Spanish → Spanish,Wav2Vec2,0.78,0.79,8,logistic_regression,0.01,0.01
Spanish → German,Wav2Vec2,0.5397727272727273,0.5340909090909091,8,linear_svm,-0.0056818181818182,0.0056818181818182
Spanish → German,Wav2Vec2,0.5795454545454546,0.5681818181818182,8,logistic_regression,-0.0113636363636363,0.0113636363636363
German → German,Wav2Vec2,0.7159090909090909,0.7386363636363636,8,linear_svm,0.0227272727272727,0.0227272727272727
German → German,Wav2Vec2,0.7727272727272727,0.7784090909090908,8,logistic_regression,0.0056818181818181,0.0056818181818181
German → Spanish,Wav2Vec2,0.54,0.53,8,linear_svm,-0.01,0.01
German → Spanish,Wav2Vec2,0.62,0.67,8,logistic_regression,0.05,0.05
German → Spanish,Wav2Vec2,0.7427536231884058,0.75,8,linear_svm,0.0072463768115942,0.0072463768115942
German → Spanish,Wav2Vec2,0.7934782608695652,0.7789855072463767,8,logistic_regression,-0.0144927536231884,0.0144927536231884
Spanish → Spanish,WavLM,0.74,0.78,0,linear_svm,0.04,0.04
Spanish → Spanish,WavLM,0.71,0.76,0,logistic_regression,0.05,0.05
Spanish → German,WavLM,0.6363636363636364,0.6420454545454546,0,linear_svm,0.0056818181818182,0.0056818181818182
Spanish → German,WavLM,0.6136363636363636,0.6136363636363636,0,logistic_regression,0.0,0.0
German → German,WavLM,0.6590909090909091,0.6761363636363636,0,linear_svm,0.0170454545454545,0.0170454545454545
German → German,WavLM,0.7045454545454546,0.6931818181818182,0,logistic_regression,-0.0113636363636363,0.0113636363636363
German → Spanish,WavLM,0.69,0.6699999999999999,0,linear_svm,-0.02,0.02
German → Spanish,WavLM,0.7,0.6599999999999999,0,logistic_regression,-0.04,0.04
German → Spanish,WavLM,0.7391304347826086,0.7318840579710145,0,linear_svm,-0.0072463768115941,0.0072463768115941
German → Spanish,WavLM,0.75,0.7427536231884058,0,logistic_regression,-0.0072463768115942,0.0072463768115942
Spanish → Spanish,WavLM,0.74,0.7,11,linear_svm,-0.04,0.04
Spanish → Spanish,WavLM,0.78,0.73,11,logistic_regression,-0.05,0.05
Spanish → German,WavLM,0.6818181818181818,0.7045454545454546,11,linear_svm,0.0227272727272728,0.0227272727272728
Spanish → German,WavLM,0.7329545454545454,0.7045454545454546,11,logistic_regression,-0.0284090909090908,0.0284090909090908
German → German,WavLM,0.7443181818181819,0.7556818181818181,11,linear_svm,0.0113636363636362,0.0113636363636362
German → German,WavLM,0.8011363636363636,0.8068181818181819,11,logistic_regression,0.0056818181818182,0.0056818181818182
