model,layer,train_language,test_language,classifier,uar_orig,acc_orig,uar_gen,acc_gen,uar_diff,acc_diff
xlsr,0,Spanish,Spanish,linear_svm,0.5,0.5,0.5,0.5,0.0,0.0
xlsr,0,Spanish,Spanish,logistic_regression,0.5,0.5,0.5,0.5,0.0,0.0
xlsr,0,Spanish,German,linear_svm,0.3333333333333333,0.3333333333333333,0.16666666666666666,0.16666666666666666,-0.16666666666666666,-0.16666666666666666
xlsr,0,Spanish,German,logistic_regression,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0
xlsr,0,German,German,linear_svm,0.16666666666666666,0.16666666666666666,0.5,0.5,0.33333333333333337,0.33333333333333337
xlsr,0,German,German,logistic_regression,0.16666666666666666,0.16666666666666666,0.5,0.5,0.33333333333333337,0.33333333333333337
xlsr,0,German,Spanish,linear_svm,0.3333333333333333,0.3333333333333333,0.16666666666666666,0.16666666666666666,-0.16666666666666666,-0.16666666666666666
xlsr,0,German,Spanish,logistic_regression,0.3333333333333333,0.3333333333333333,0.16666666666666666,0.16666666666666666,-0.16666666666666666,-0.16666666666666666
xlsr,0,Spanish+German,Spanish+German,linear_svm,0.5,0.5,0.41666666666666663,0.4166666666666667,-0.08333333333333337,-0.08333333333333331
xlsr,0,Spanish+German,Spanish+German,logistic_regression,0.5,0.5,0.41666666666666663,0.4166666666666667,-0.08333333333333337,-0.08333333333333331
xlsr,11,Spanish,Spanish,linear_svm,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0,0.0
xlsr,11,Spanish,Spanish,logistic_regression,0.8333333333333333,0.8333333333333334,0.8333333333333333,0.8333333333333334,0.0,0.0
xlsr,11,Spanish,German,linear_svm,0.5,0.5,0.5,0.5,0.0,0.0
xlsr,11,Spanish,German,logistic_regression,0.5,0.5,0.5,0.5,0.0,0.0
xlsr,11,German,German,linear_svm,0.5,0.5,0.5,0.5,0.0,0.0
xlsr,11,German,German,logistic_regression,0.5,0.5,0.5,0.5,0.0,0.0
xlsr,11,German,Spanish,linear_svm,0.5,0.5,0.5,0.5,0.0,0.0
xlsr,11,German,Spanish,logistic_regression,0.5,0.5,0.5,0.5,0.0,0.0
xlsr,11,Spanish+German,Spanish+German,linear_svm,0.5833333333333334,0.5833333333333334,0.5,0.5,-0.08333333333333337,-0.08333333333333337
