model,layer,train_language,test_language,classifier,uar_orig,acc_orig,uar_gen,acc_gen,uar_diff,acc_diff
xlsr,0,Spanish,Spanish,linear_svm,0.78,0.78,0.79,0.79,0.01,0.01
xlsr,0,Spanish,Spanish,logistic_regression,0.78,0.78,0.78,0.78,0.0,0.0
xlsr,0,Spanish,German,linear_svm,0.5511363636363636,0.5511363636363636,0.5681818181818182,0.5681818181818182,0.0170454545454545,0.0170454545454545
xlsr,0,Spanish,German,logistic_regression,0.5965909090909091,0.5965909090909091,0.5909090909090908,0.5909090909090909,-0.0056818181818182,-0.0056818181818181
xlsr,0,German,German,linear_svm,0.7102272727272727,0.7102272727272727,0.7215909090909092,0.7215909090909091,0.0113636363636364,0.0113636363636363
xlsr,0,German,German,logistic_regression,0.7386363636363636,0.7386363636363636,0.7556818181818181,0.7556818181818182,0.0170454545454544,0.0170454545454545
xlsr,0,German,Spanish,linear_svm,0.61,0.61,0.6,0.6,-0.01,-0.01
xlsr,0,German,Spanish,logistic_regression,0.6100000000000001,0.61,0.65,0.65,0.0399999999999999,0.04
xlsr,0,Spanish+German,Spanish+German,linear_svm,0.7681159420289855,0.7681159420289855,0.7717391304347826,0.7717391304347826,0.0036231884057971,0.0036231884057971
xlsr,0,Spanish+German,Spanish+German,logistic_regression,0.7644927536231884,0.7644927536231884,0.7862318840579711,0.7862318840579711,0.0217391304347827,0.0217391304347827
xlsr,11,Spanish,Spanish,linear_svm,0.8,0.8,0.78,0.78,-0.02,-0.02
xlsr,11,Spanish,Spanish,logistic_regression,0.8,0.8,0.8200000000000001,0.82,0.02,0.0199999999999999
xlsr,11,Spanish,German,linear_svm,0.5909090909090909,0.5909090909090909,0.5397727272727273,0.5397727272727273,-0.0511363636363636,-0.0511363636363636
xlsr,11,Spanish,German,logistic_regression,0.6420454545454546,0.6420454545454546,0.6590909090909091,0.6590909090909091,0.0170454545454544,0.0170454545454544
xlsr,11,German,German,linear_svm,0.7045454545454546,0.7045454545454546,0.7556818181818181,0.7556818181818182,0.0511363636363635,0.0511363636363636
xlsr,11,German,German,logistic_regression,0.7556818181818181,0.7556818181818182,0.7670454545454546,0.7670454545454546,0.0113636363636364,0.0113636363636363
xlsr,11,German,Spanish,linear_svm,0.6100000000000001,0.61,0.57,0.57,-0.0400000000000001,-0.04
xlsr,11,German,Spanish,logistic_regression,0.66,0.66,0.55,0.55,-0.1099999999999999,-0.1099999999999999
xlsr,11,Spanish+German,Spanish+German,linear_svm,0.8007246376811594,0.8007246376811594,0.7717391304347826,0.7717391304347826,-0.0289855072463768,-0.0289855072463768
xlsr,11,Spanish+German,Spanish+German,logistic_regression,0.7826086956521738,0.782608695652174,0.8007246376811594,0.8007246376811594,0.0181159420289855,0.0181159420289854
xlsr,4,Spanish,Spanish,linear_svm,0.84,0.84,0.8200000000000001,0.82,-0.0199999999999999,-0.02
xlsr,4,Spanish,Spanish,logistic_regression,0.8200000000000001,0.82,0.81,0.81,-0.01,-0.0099999999999998
xlsr,4,Spanish,German,linear_svm,0.5284090909090909,0.5284090909090909,0.5227272727272727,0.5227272727272727,-0.0056818181818182,-0.0056818181818182
xlsr,4,Spanish,German,logistic_regression,0.5454545454545454,0.5454545454545454,0.5340909090909091,0.5340909090909091,-0.0113636363636363,-0.0113636363636363
xlsr,4,German,German,linear_svm,0.7670454545454546,0.7670454545454546,0.7159090909090909,0.7159090909090909,-0.0511363636363636,-0.0511363636363636
xlsr,4,German,German,logistic_regression,0.7727272727272727,0.7727272727272727,0.7840909090909092,0.7840909090909091,0.0113636363636364,0.0113636363636363
xlsr,4,German,Spanish,linear_svm,0.62,0.62,0.66,0.66,0.04,0.04
xlsr,4,German,Spanish,logistic_regression,0.62,0.62,0.73,0.73,0.1099999999999999,0.1099999999999999
xlsr,4,Spanish+German,Spanish+German,linear_svm,0.7753623188405797,0.7753623188405797,0.782608695652174,0.782608695652174,0.0072463768115942,0.0072463768115942
xlsr,4,Spanish+German,Spanish+German,logistic_regression,0.786231884057971,0.7862318840579711,0.7934782608695652,0.7934782608695652,0.0072463768115942,0.0072463768115941
xlsr,8,Spanish,Spanish,linear_svm,0.79,0.79,0.8200000000000001,0.82,0.03,0.0299999999999999
xlsr,8,Spanish,Spanish,logistic_regression,0.8400000000000001,0.84,0.8600000000000001,0.86,0.02,0.02
xlsr,8,Spanish,German,linear_svm,0.5965909090909091,0.5965909090909091,0.6818181818181819,0.6818181818181818,0.0852272727272728,0.0852272727272727
xlsr,8,Spanish,German,logistic_regression,0.6477272727272727,0.6477272727272727,0.6590909090909092,0.6590909090909091,0.0113636363636364,0.0113636363636363
xlsr,8,German,German,linear_svm,0.7102272727272727,0.7102272727272727,0.7386363636363636,0.7386363636363636,0.0284090909090909,0.0284090909090909
xlsr,8,German,German,logistic_regression,0.75,0.75,0.7670454545454546,0.7670454545454546,0.0170454545454545,0.0170454545454545
xlsr,8,German,Spanish,linear_svm,0.55,0.55,0.6799999999999999,0.68,0.1299999999999999,0.13
xlsr,8,German,Spanish,logistic_regression,0.6599999999999999,0.66,0.6599999999999999,0.66,0.0,0.0
xlsr,8,Spanish+German,Spanish+German,linear_svm,0.7536231884057971,0.7536231884057971,0.7934782608695652,0.7934782608695652,0.039855072463768,0.039855072463768
xlsr,8,Spanish+German,Spanish+German,logistic_regression,0.7934782608695652,0.7934782608695652,0.8043478260869565,0.8043478260869565,0.0108695652173913,0.0108695652173913
wav2vec2,0,Spanish,Spanish,linear_svm,0.78,0.78,0.72,0.72,-0.06,-0.06
wav2vec2,0,Spanish,Spanish,logistic_regression,0.75,0.75,0.74,0.74,-0.01,-0.01
wav2vec2,0,Spanish,German,linear_svm,0.6420454545454546,0.6420454545454546,0.5909090909090909,0.5909090909090909,-0.0511363636363636,-0.0511363636363636
wav2vec2,0,Spanish,German,logistic_regression,0.6136363636363636,0.6136363636363636,0.6136363636363636,0.6136363636363636,0.0,0.0
wav2vec2,0,German,German,linear_svm,0.7159090909090909,0.7159090909090909,0.7159090909090908,0.7159090909090909,-1.1102230246251563e-16,0.0
wav2vec2,0,German,German,logistic_regression,0.7386363636363636,0.7386363636363636,0.7045454545454546,0.7045454545454546,-0.034090909090909,-0.034090909090909
wav2vec2,0,German,Spanish,linear_svm,0.62,0.62,0.63,0.63,0.01,0.01
wav2vec2,0,German,Spanish,logistic_regression,0.55,0.55,0.63,0.63,0.0799999999999999,0.0799999999999999
wav2vec2,0,Spanish+German,Spanish+German,linear_svm,0.7717391304347827,0.7717391304347826,0.7282608695652174,0.7282608695652174,-0.0434782608695653,-0.0434782608695651
wav2vec2,0,Spanish+German,Spanish+German,logistic_regression,0.7608695652173914,0.7608695652173914,0.7210144927536232,0.7210144927536232,-0.0398550724637681,-0.0398550724637681
wav2vec2,11,Spanish,Spanish,linear_svm,0.72,0.72,0.73,0.73,0.01,0.01
wav2vec2,11,Spanish,Spanish,logistic_regression,0.74,0.74,0.73,0.73,-0.01,-0.01
