model,layer,train_language,test_language,classifier,uar_orig,acc_orig,uar_gen,acc_gen,uar_diff,acc_diff
xlsr,0,Spanish,Spanish,linear_svm,0.925,0.925,0.875,0.875,-0.05,-0.05
xlsr,0,Spanish,Spanish,logistic_regression,0.825,0.825,0.85,0.85,0.025,0.025
xlsr,0,Spanish,German,linear_svm,0.5,0.5,0.475,0.475,-0.025,-0.025
xlsr,0,Spanish,German,logistic_regression,0.5,0.5,0.475,0.475,-0.025,-0.025
xlsr,0,German,German,linear_svm,0.6000000000000001,0.6,0.575,0.575,-0.0250000000000001,-0.025
xlsr,0,German,German,logistic_regression,0.625,0.625,0.575,0.575,-0.05,-0.05
xlsr,0,German,Spanish,linear_svm,0.525,0.525,0.6000000000000001,0.6,0.075,0.0749999999999999
xlsr,0,German,Spanish,logistic_regression,0.6499999999999999,0.65,0.6,0.6,-0.0499999999999999,-0.05
xlsr,0,Spanish+German,Spanish+German,linear_svm,0.7,0.7,0.6499999999999999,0.65,-0.05,-0.0499999999999999
xlsr,0,Spanish+German,Spanish+German,logistic_regression,0.7,0.7,0.6375,0.6375,-0.0625,-0.0625
xlsr,11,Spanish,Spanish,linear_svm,0.775,0.775,0.8500000000000001,0.85,0.075,0.0749999999999999
xlsr,11,Spanish,Spanish,logistic_regression,0.8,0.8,0.85,0.85,0.0499999999999999,0.0499999999999999
xlsr,11,Spanish,German,linear_svm,0.55,0.55,0.575,0.575,0.0249999999999999,0.0249999999999999
xlsr,11,Spanish,German,logistic_regression,0.575,0.575,0.575,0.575,0.0,0.0
xlsr,11,German,German,linear_svm,0.6000000000000001,0.6,0.6499999999999999,0.65,0.0499999999999998,0.05
xlsr,11,German,German,logistic_regression,0.625,0.625,0.6499999999999999,0.65,0.0249999999999999,0.025
xlsr,11,German,Spanish,linear_svm,0.45,0.45,0.525,0.525,0.075,0.075
xlsr,11,German,Spanish,logistic_regression,0.525,0.525,0.575,0.575,0.0499999999999999,0.0499999999999999
xlsr,11,Spanish+German,Spanish+German,linear_svm,0.675,0.675,0.7250000000000001,0.725,0.05,0.0499999999999999
xlsr,11,Spanish+German,Spanish+German,logistic_regression,0.6875,0.6875,0.7625,0.7625,0.0749999999999999,0.0749999999999999
xlsr,4,Spanish,Spanish,linear_svm,0.875,0.875,0.8500000000000001,0.85,-0.0249999999999999,-0.025
xlsr,4,Spanish,Spanish,logistic_regression,0.85,0.85,0.8,0.8,-0.0499999999999999,-0.0499999999999999
xlsr,4,Spanish,German,linear_svm,0.45,0.45,0.55,0.55,0.1,0.1
xlsr,4,Spanish,German,logistic_regression,0.425,0.425,0.55,0.55,0.125,0.125
xlsr,4,German,German,linear_svm,0.675,0.675,0.6499999999999999,0.65,-0.0250000000000001,-0.025
xlsr,4,German,German,logistic_regression,0.6499999999999999,0.65,0.6499999999999999,0.65,0.0,0.0
xlsr,4,German,Spanish,linear_svm,0.525,0.525,0.575,0.575,0.0499999999999999,0.0499999999999999
xlsr,4,German,Spanish,logistic_regression,0.525,0.525,0.55,0.55,0.025,0.025
xlsr,4,Spanish+German,Spanish+German,linear_svm,0.7124999999999999,0.7125,0.65,0.65,-0.0624999999999998,-0.0625
