model,layer,domain,embedding_dimension,mean_value,std_value
xlsr,0,german-domain,1024,1.163428775281084,2.2767704562157913
xlsr,0,spanish-domain,1024,1.1317041702354713,2.196901988538895
xlsr,4,german-domain,1024,1.0819451147821924,1.4987052215834735
xlsr,4,spanish-domain,1024,1.051262547821603,1.5751696558367698
xlsr,8,german-domain,1024,1.0681437298585579,1.78754635883919
xlsr,8,spanish-domain,1024,1.0399353541997607,1.9719489920324678
xlsr,11,german-domain,1024,1.0595865254738916,2.1263425187586678
xlsr,11,spanish-domain,1024,1.0281011401593767,2.330785142167744
wav2vec2,0,german-domain,768,8.950006399717984e-05,0.0853728401295301
wav2vec2,0,spanish-domain,768,-3.07247399778642e-05,0.09653517796277565
wav2vec2,4,german-domain,768,-0.0023909419748259007,0.09092585129466778
wav2vec2,4,spanish-domain,768,-0.0003104926856386716,0.11460584985131955
wav2vec2,8,german-domain,768,-0.005550895858931273,0.11291559700183083
wav2vec2,8,spanish-domain,768,-0.0045508708777112624,0.12941321252992236
wav2vec2,11,german-domain,768,-0.00023735505817816844,0.10026688290446596
wav2vec2,11,spanish-domain,768,0.00013143116442467136,0.09830198739350114
wavlm,0,german-domain,768,0.003891175966565972,0.06294318547778674
wavlm,0,spanish-domain,768,0.004612376429741753,0.07218652512788222
wavlm,4,german-domain,768,0.005850652318481119,0.06488819105198672
wavlm,4,spanish-domain,768,0.0035677448845838765,0.0706411696479462
wavlm,8,german-domain,768,0.0024695962935785587,0.04893562451363924
wavlm,8,spanish-domain,768,0.0015537754923132382,0.06024282522662819
wavlm,11,german-domain,768,0.0005300148408580721,0.07210377972656064
wavlm,11,spanish-domain,768,-0.00029112014048697906,0.07184783554300737
