file,model,layer,status,error
SP_PD_001.wav,xlsr,0,success,
SP_PD_001.wav,xlsr,4,success,
SP_PD_001.wav,xlsr,8,success,
SP_PD_001.wav,xlsr,11,success,
SP_PD_002.wav,xlsr,0,success,
SP_PD_002.wav,xlsr,4,success,
SP_PD_002.wav,xlsr,8,success,
SP_PD_002.wav,xlsr,11,success,
SP_PD_003.wav,xlsr,0,success,
SP_PD_003.wav,xlsr,4,success,
SP_PD_003.wav,xlsr,8,success,
SP_PD_003.wav,xlsr,11,success,
SP_HC_001.wav,xlsr,0,success,
SP_HC_001.wav,xlsr,4,success,
SP_HC_001.wav,xlsr,8,success,
SP_HC_001.wav,xlsr,11,success,
SP_HC_002.wav,xlsr,0,success,
SP_HC_002.wav,xlsr,4,success,
SP_HC_002.wav,xlsr,8,success,
SP_HC_002.wav,xlsr,11,success,
SP_HC_003.wav,xlsr,0,success,
SP_HC_003.wav,xlsr,4,success,
SP_HC_003.wav,xlsr,8,success,
SP_HC_003.wav,xlsr,11,success,
DE_PD_001.wav,xlsr,0,success,
DE_PD_001.wav,xlsr,4,success,
DE_PD_001.wav,xlsr,8,success,
DE_PD_001.wav,xlsr,11,success,
DE_PD_002.wav,xlsr,0,success,
DE_PD_002.wav,xlsr,4,success,
DE_PD_002.wav,xlsr,8,success,
DE_PD_002.wav,xlsr,11,success,
DE_PD_003.wav,xlsr,0,success,
DE_PD_003.wav,xlsr,4,success,
DE_PD_003.wav,xlsr,8,success,
DE_PD_003.wav,xlsr,11,success,
DE_HC_001.wav,xlsr,0,success,
DE_HC_001.wav,xlsr,4,success,
DE_HC_001.wav,xlsr,8,success,
DE_HC_001.wav,xlsr,11,success,
DE_HC_002.wav,xlsr,0,success,
DE_HC_002.wav,xlsr,4,success,
DE_HC_002.wav,xlsr,8,success,
DE_HC_002.wav,xlsr,11,success,
DE_HC_003.wav,xlsr,0,success,
DE_HC_003.wav,xlsr,4,success,
DE_HC_003.wav,xlsr,8,success,
DE_HC_003.wav,xlsr,11,success,
SP_PD_001.wav,wav2vec2,0,success,
SP_PD_001.wav,wav2vec2,4,success,
SP_PD_001.wav,wav2vec2,8,success,
SP_PD_001.wav,wav2vec2,11,success,
SP_PD_002.wav,wav2vec2,0,success,
SP_PD_002.wav,wav2vec2,4,success,
SP_PD_002.wav,wav2vec2,8,success,
SP_PD_002.wav,wav2vec2,11,success,
SP_PD_003.wav,wav2vec2,0,success,
SP_PD_003.wav,wav2vec2,4,success,
SP_PD_003.wav,wav2vec2,8,success,
SP_PD_003.wav,wav2vec2,11,success,
SP_HC_001.wav,wav2vec2,0,success,
SP_HC_001.wav,wav2vec2,4,success,
SP_HC_001.wav,wav2vec2,8,success,
SP_HC_001.wav,wav2vec2,11,success,
SP_HC_002.wav,wav2vec2,0,success,
SP_HC_002.wav,wav2vec2,4,success,
SP_HC_002.wav,wav2vec2,8,success,
SP_HC_002.wav,wav2vec2,11,success,
SP_HC_003.wav,wav2vec2,0,success,
SP_HC_003.wav,wav2vec2,4,success,
SP_HC_003.wav,wav2vec2,8,success,
SP_HC_003.wav,wav2vec2,11,success,
DE_PD_001.wav,wav2vec2,0,success,
