condition_model,condition_layer,alpha,mean_crosslingual_uar_delta,median_crosslingual_uar_delta,mean_abs_uar_delta,number_of_positive_crosslingual_rows,number_of_negative_crosslingual_rows,audio_success_rate
wavlm,8,0.1,0.013888888888888883,0.0,0.013888888888888883,1,0,1.0
wavlm,8,0.25,0.013888888888888883,0.0,0.013888888888888883,1,0,1.0
wavlm,8,0.5,0.013888888888888883,0.0,0.013888888888888883,1,0,1.0
wavlm,8,0.75,0.013888888888888883,0.0,0.013888888888888883,1,0,1.0
wavlm,8,1.0,0.013888888888888883,0.0,0.013888888888888883,1,0,1.0
wavlm,11,0.1,0.013888888888888883,0.0,0.013888888888888883,1,0,1.0
wavlm,11,0.25,0.013888888888888883,0.0,0.013888888888888883,1,0,1.0
wavlm,11,0.5,0.013888888888888883,0.0,0.013888888888888883,1,0,1.0
wavlm,11,0.75,0.013888888888888883,0.0,0.013888888888888883,1,0,1.0
wavlm,11,1.0,0.013888888888888883,0.0,0.013888888888888883,1,0,1.0
xlsr,11,0.1,0.013888888888888883,0.0,0.013888888888888883,1,0,1.0
xlsr,11,0.25,0.013888888888888883,0.0,0.013888888888888883,1,0,1.0
xlsr,11,0.5,0.027777777777777766,0.0,0.027777777777777766,2,0,1.0
xlsr,11,0.75,0.0972222222222222,0.0,0.0972222222222222,5,0,1.0
xlsr,11,1.0,0.12499999999999996,0.0,0.12499999999999996,5,0,1.0
