source_file,source_language,target_domain,condition_model,condition_layer,alpha,output_file,generation_status,method_used,notes
DE_HC_001.wav,German,Spanish-domain,xlsr,11,1.0,converted_audio_stage5b\german_to_spanish\DE_HC_001_to_Sp_domain_xlsr_layer11_alpha_1_00.wav,success,prototype embedding-conditioned conversion,Clipped samples: 0 (max peak=0.3525).
DE_HC_002.wav,German,Spanish-domain,xlsr,11,1.0,converted_audio_stage5b\german_to_spanish\DE_HC_002_to_Sp_domain_xlsr_layer11_alpha_1_00.wav,success,prototype embedding-conditioned conversion,Clipped samples: 0 (max peak=0.3661).
DE_HC_003.wav,German,Spanish-domain,xlsr,11,1.0,converted_audio_stage5b\german_to_spanish\DE_HC_003_to_Sp_domain_xlsr_layer11_alpha_1_00.wav,success,prototype embedding-conditioned conversion,Clipped samples: 0 (max peak=0.8127).
DE_HC_004.wav,German,Spanish-domain,xlsr,11,1.0,converted_audio_stage5b\german_to_spanish\DE_HC_004_to_Sp_domain_xlsr_layer11_alpha_1_00.wav,success,prototype embedding-conditioned conversion,Clipped samples: 0 (max peak=0.5216).
DE_HC_005.wav,German,Spanish-domain,xlsr,11,1.0,converted_audio_stage5b\german_to_spanish\DE_HC_005_to_Sp_domain_xlsr_layer11_alpha_1_00.wav,success,prototype embedding-conditioned conversion,Clipped samples: 0 (max peak=0.3916).
DE_HC_006.wav,German,Spanish-domain,xlsr,11,1.0,converted_audio_stage5b\german_to_spanish\DE_HC_006_to_Sp_domain_xlsr_layer11_alpha_1_00.wav,success,prototype embedding-conditioned conversion,Clipped samples: 0 (max peak=0.3044).
DE_HC_007.wav,German,Spanish-domain,xlsr,11,1.0,converted_audio_stage5b\german_to_spanish\DE_HC_007_to_Sp_domain_xlsr_layer11_alpha_1_00.wav,success,prototype embedding-conditioned conversion,Clipped samples: 0 (max peak=0.4870).
DE_HC_008.wav,German,Spanish-domain,xlsr,11,1.0,converted_audio_stage5b\german_to_spanish\DE_HC_008_to_Sp_domain_xlsr_layer11_alpha_1_00.wav,success,prototype embedding-conditioned conversion,Clipped samples: 0 (max peak=0.6626).
DE_HC_009.wav,German,Spanish-domain,xlsr,11,1.0,converted_audio_stage5b\german_to_spanish\DE_HC_009_to_Sp_domain_xlsr_layer11_alpha_1_00.wav,success,prototype embedding-conditioned conversion,Clipped samples: 0 (max peak=0.4225).
DE_HC_010.wav,German,Spanish-domain,xlsr,11,1.0,converted_audio_stage5b\german_to_spanish\DE_HC_010_to_Sp_domain_xlsr_layer11_alpha_1_00.wav,success,prototype embedding-conditioned conversion,Clipped samples: 0 (max peak=0.9855).
DE_HC_011.wav,German,Spanish-domain,xlsr,11,1.0,converted_audio_stage5b\german_to_spanish\DE_HC_011_to_Sp_domain_xlsr_layer11_alpha_1_00.wav,success,prototype embedding-conditioned conversion,Clipped samples: 0 (max peak=0.3561).
DE_HC_012.wav,German,Spanish-domain,xlsr,11,1.0,converted_audio_stage5b\german_to_spanish\DE_HC_012_to_Sp_domain_xlsr_layer11_alpha_1_00.wav,success,prototype embedding-conditioned conversion,Clipped samples: 0 (max peak=0.3735).
DE_HC_013.wav,German,Spanish-domain,xlsr,11,1.0,converted_audio_stage5b\german_to_spanish\DE_HC_013_to_Sp_domain_xlsr_layer11_alpha_1_00.wav,success,prototype embedding-conditioned conversion,Clipped samples: 0 (max peak=0.5790).
DE_HC_014.wav,German,Spanish-domain,xlsr,11,1.0,converted_audio_stage5b\german_to_spanish\DE_HC_014_to_Sp_domain_xlsr_layer11_alpha_1_00.wav,success,prototype embedding-conditioned conversion,Clipped samples: 0 (max peak=0.6208).
DE_HC_015.wav,German,Spanish-domain,xlsr,11,1.0,converted_audio_stage5b\german_to_spanish\DE_HC_015_to_Sp_domain_xlsr_layer11_alpha_1_00.wav,success,prototype embedding-conditioned conversion,Clipped samples: 0 (max peak=0.4903).
DE_HC_016.wav,German,Spanish-domain,xlsr,11,1.0,converted_audio_stage5b\german_to_spanish\DE_HC_016_to_Sp_domain_xlsr_layer11_alpha_1_00.wav,success,prototype embedding-conditioned conversion,Clipped samples: 0 (max peak=0.5391).
DE_HC_017.wav,German,Spanish-domain,xlsr,11,1.0,converted_audio_stage5b\german_to_spanish\DE_HC_017_to_Sp_domain_xlsr_layer11_alpha_1_00.wav,success,prototype embedding-conditioned conversion,Clipped samples: 0 (max peak=0.4766).
DE_HC_018.wav,German,Spanish-domain,xlsr,11,1.0,converted_audio_stage5b\german_to_spanish\DE_HC_018_to_Sp_domain_xlsr_layer11_alpha_1_00.wav,success,prototype embedding-conditioned conversion,Clipped samples: 0 (max peak=0.7199).
DE_HC_019.wav,German,Spanish-domain,xlsr,11,1.0,converted_audio_stage5b\german_to_spanish\DE_HC_019_to_Sp_domain_xlsr_layer11_alpha_1_00.wav,success,prototype embedding-conditioned conversion,Clipped samples: 0 (max peak=0.7235).
