evaluation_model,evaluation_layer,scenario,classifier,uar_original,uar_converted,uar_delta,accuracy_original,accuracy_converted,accuracy_delta,sensitivity_original,sensitivity_converted,specificity_original,specificity_converted,auc_original,auc_converted
xlsr,0,German->Spanish,linear_svm,0.55,0.5499999999999999,-1.1102230246251565e-16,0.55,0.55,0.0,0.65,0.15,0.45,0.95,0.5974999999999999,0.665
xlsr,0,German->Spanish,logistic_regression,0.625,0.675,0.050000000000000044,0.625,0.675,0.050000000000000044,0.65,0.5,0.6,0.85,0.6725000000000001,0.73
xlsr,0,Spanish->German,linear_svm,0.5,0.45,-0.04999999999999999,0.5,0.45,-0.04999999999999999,0.4,0.4,0.6,0.5,0.48250000000000004,0.455
xlsr,0,Spanish->German,logistic_regression,0.5,0.47500000000000003,-0.024999999999999967,0.5,0.475,-0.025000000000000022,0.4,0.55,0.6,0.4,0.4800000000000001,0.45
xlsr,0,Spanish->Spanish,linear_svm,0.8999999999999999,0.9125,0.012500000000000067,0.9,0.9125,0.012499999999999956,0.85,0.975,0.95,0.85,0.9675,0.9724999999999999
xlsr,0,Spanish->Spanish,logistic_regression,0.8999999999999999,0.8625,-0.03749999999999987,0.9,0.8625,-0.03749999999999998,0.85,0.85,0.95,0.875,0.9625,0.963125
xlsr,0,German->German,linear_svm,0.675,0.7625,0.08749999999999991,0.675,0.7625,0.08749999999999991,0.55,0.8,0.8,0.725,0.56,0.83
xlsr,0,German->German,logistic_regression,0.7,0.7125,0.012500000000000067,0.7,0.7125,0.012500000000000067,0.6,0.75,0.8,0.675,0.6625,0.828125
xlsr,0,Combined->Combined,linear_svm,0.725,0.8125,0.08750000000000002,0.725,0.8125,0.08750000000000002,0.725,0.7875,0.725,0.8375,0.7256250000000001,0.8400000000000001
xlsr,0,Combined->Combined,logistic_regression,0.7375,0.80625,0.06874999999999998,0.7375,0.80625,0.06874999999999998,0.725,0.775,0.75,0.8375,0.7875000000000001,0.855625
xlsr,4,German->Spanish,linear_svm,0.55,0.55,0.0,0.55,0.55,0.0,0.1,0.1,1.0,1.0,0.48000000000000004,0.6025
xlsr,4,German->Spanish,logistic_regression,0.525,0.55,0.025000000000000022,0.525,0.55,0.025000000000000022,0.05,0.1,1.0,1.0,0.5,0.6375
