evaluation_model,evaluation_layer,scenario,classifier,uar_original,uar_converted,uar_delta,accuracy_original,accuracy_converted,accuracy_delta,sensitivity_original,sensitivity_converted,specificity_original,specificity_converted,auc_original,auc_converted
xlsr,0,German->Spanish,linear_svm,0.6,0.5900000000000001,-0.009999999999999898,0.6,0.59,-0.010000000000000009,0.72,0.92,0.48,0.26,0.6954,0.5948000000000001
xlsr,0,German->Spanish,logistic_regression,0.6000000000000001,0.55,-0.050000000000000044,0.6,0.55,-0.04999999999999993,0.68,0.8,0.52,0.3,0.6668000000000001,0.5908
xlsr,0,Spanish->German,linear_svm,0.5568181818181819,0.5170454545454546,-0.03977272727272729,0.5568181818181818,0.5170454545454546,-0.03977272727272718,0.23863636363636365,0.29545454545454547,0.875,0.7386363636363636,0.6455320247933884,0.5278925619834711
xlsr,0,Spanish->German,logistic_regression,0.5625,0.5397727272727273,-0.022727272727272707,0.5625,0.5397727272727273,-0.022727272727272707,0.25,0.5795454545454546,0.875,0.5,0.67161673553719,0.5424845041322314
xlsr,0,Spanish->Spanish,linear_svm,0.77,0.835,0.06499999999999995,0.77,0.835,0.06499999999999995,0.76,0.81,0.78,0.86,0.8435999999999999,0.8959499999999999
xlsr,0,Spanish->Spanish,logistic_regression,0.79,0.79,0.0,0.79,0.79,0.0,0.78,0.75,0.8,0.83,0.8583999999999999,0.9011
xlsr,0,German->German,linear_svm,0.6988636363636364,0.7869318181818181,0.08806818181818177,0.6988636363636364,0.7869318181818182,0.08806818181818188,0.7159090909090909,0.8011363636363636,0.6818181818181818,0.7727272727272727,0.7509684917355371,0.8514656508264463
xlsr,0,German->German,logistic_regression,0.7272727272727273,0.78125,0.05397727272727271,0.7272727272727273,0.78125,0.05397727272727271,0.7272727272727273,0.7954545454545454,0.7272727272727273,0.7670454545454546,0.7515495867768595,0.8501420454545454
xlsr,0,Combined->Combined,linear_svm,0.717391304347826,0.7681159420289855,0.050724637681159424,0.717391304347826,0.7681159420289855,0.050724637681159424,0.7391304347826086,0.7681159420289855,0.6956521739130435,0.7681159420289855,0.8005671077504726,0.8344622978365889
xlsr,0,Combined->Combined,logistic_regression,0.7644927536231885,0.7626811594202898,-0.0018115942028986698,0.7644927536231884,0.7626811594202898,-0.0018115942028985588,0.7608695652173914,0.7608695652173914,0.7681159420289855,0.7644927536231884,0.7915353917244276,0.8368383742911154
xlsr,4,German->Spanish,linear_svm,0.62,0.64,0.020000000000000018,0.62,0.64,0.020000000000000018,0.24,0.4,1.0,0.88,0.7276,0.7104000000000001
xlsr,4,German->Spanish,logistic_regression,0.61,0.69,0.07999999999999996,0.61,0.69,0.07999999999999996,0.22,0.5,1.0,0.88,0.7604,0.7652
xlsr,4,Spanish->German,linear_svm,0.5511363636363636,0.5113636363636364,-0.03977272727272729,0.5511363636363636,0.5113636363636364,-0.03977272727272729,0.8636363636363636,1.0,0.23863636363636365,0.022727272727272728,0.6109245867768596,0.6172520661157024
xlsr,4,Spanish->German,logistic_regression,0.5340909090909091,0.5,-0.03409090909090906,0.5340909090909091,0.5,-0.03409090909090906,0.8522727272727273,0.9886363636363636,0.2159090909090909,0.011363636363636364,0.6372675619834711,0.6510847107438017
xlsr,4,Spanish->Spanish,linear_svm,0.84,0.885,0.04500000000000004,0.84,0.885,0.04500000000000004,0.86,0.87,0.82,0.9,0.9048,0.93965
xlsr,4,Spanish->Spanish,logistic_regression,0.88,0.88,0.0,0.88,0.88,0.0,0.88,0.86,0.88,0.9,0.9096,0.9315
xlsr,4,German->German,linear_svm,0.7159090909090908,0.8607954545454546,0.14488636363636376,0.7159090909090909,0.8607954545454546,0.14488636363636365,0.6818181818181818,0.8636363636363636,0.75,0.8579545454545454,0.7877066115702479,0.9077350206611571
xlsr,4,German->German,logistic_regression,0.7159090909090909,0.8323863636363636,0.11647727272727271,0.7159090909090909,0.8323863636363636,0.11647727272727271,0.7159090909090909,0.8295454545454546,0.7159090909090909,0.8352272727272727,0.7911931818181819,0.9049586776859503
xlsr,4,Combined->Combined,linear_svm,0.7608695652173914,0.8496376811594203,0.08876811594202894,0.7608695652173914,0.8496376811594203,0.08876811594202894,0.7753623188405797,0.8442028985507246,0.7463768115942029,0.855072463768116,0.8369827767275783,0.9222064692291535
xlsr,4,Combined->Combined,logistic_regression,0.7717391304347827,0.8460144927536233,0.07427536231884058,0.7717391304347826,0.8460144927536232,0.07427536231884058,0.782608695652174,0.8369565217391305,0.7608695652173914,0.855072463768116,0.8448855282503676,0.9226396765385423
xlsr,8,German->Spanish,linear_svm,0.53,0.56,0.030000000000000027,0.53,0.56,0.030000000000000027,0.28,0.26,0.78,0.86,0.6040000000000001,0.5923999999999999
xlsr,8,German->Spanish,logistic_regression,0.6699999999999999,0.66,-0.009999999999999898,0.67,0.66,-0.010000000000000009,0.72,0.52,0.62,0.8,0.7452,0.6928
xlsr,8,Spanish->German,linear_svm,0.5965909090909091,0.5738636363636364,-0.022727272727272707,0.5965909090909091,0.5738636363636364,-0.022727272727272707,0.42045454545454547,0.9090909090909091,0.7727272727272727,0.23863636363636365,0.6525051652892562,0.6496642561983471
xlsr,8,Spanish->German,logistic_regression,0.5965909090909091,0.625,0.02840909090909094,0.5965909090909091,0.625,0.02840909090909094,0.38636363636363635,0.7727272727272727,0.8068181818181818,0.4772727272727273,0.6763946280991736,0.6647727272727273
